student_id,week_start,academic_year,term,who5_sum,who5_mean,logins_per_week,time_on_platform_mins_week,task_completion_rate_mean,engagement_score_mean,journal_rate,goal_rate,top_goal_type
1,2019-09-02,2019–2020,Autumn,15,15.0,1,27.9615052672417,57.13306810466323,37.60376878191304,1.0,0.0,None
1,2019-09-09,2019–2020,Autumn,13,13.0,0,21.421187170079136,45.15215701323196,28.428434976667706,1.0,0.0,None
1,2019-09-16,2019–2020,Autumn,15,15.0,0,35.666412859050496,68.6171898223781,54.04310174194469,1.0,1.0,Connect
1,2019-09-23,2019–2020,Autumn,13,13.0,2,23.322130247480207,51.25245970187107,38.587158341294504,1.0,0.0,
1,2019-09-30,2019–2020,Autumn,5,5.0,0,24.244562999431544,53.340819816711594,31.41672595398841,1.0,0.0,None
1,2019-10-07,2019–2020,Autumn,20,20.0,0,17.8796402268634,86.52028346144934,52.589950940983464,0.0,1.0,
1,2019-10-14,2019–2020,Autumn,11,11.0,0,27.79377072307041,45.781972772133564,30.710083434056855,1.0,0.0,None
1,2019-10-21,2019–2020,Autumn,7,7.0,1,32.9324208001173,31.741093988394052,32.91274709713761,1.0,0.0,
1,2019-10-28,2019–2020,Autumn,7,7.0,0,25.571102310818176,30.693940337602392,26.19718585467332,0.0,0.0,None
1,2019-11-04,2019–2020,Autumn,17,17.0,2,30.879360864525427,60.5230569468216,43.42388452488054,1.0,0.0,None
1,2019-11-11,2019–2020,Autumn,15,15.0,0,29.651202773650557,54.02288059500658,33.38945440663517,1.0,0.0,None
1,2019-11-18,2019–2020,Autumn,14,14.0,0,10.556793082353293,54.82794307023695,17.225916795010335,,0.0,None
1,2019-11-25,2019–2020,Autumn,19,19.0,3,37.428897527673776,75.12679280561036,53.257997377293854,0.0,0.0,None
1,2019-12-02,2019–2020,Autumn,14,14.0,3,22.64099491554167,65.08155500467393,60.817387056349034,1.0,1.0,Be Active
1,2019-12-23,2019–2020,Spring,10,10.0,1,26.489174829701426,49.57171133558822,35.22265277713086,0.0,0.0,None
1,2019-12-30,2019–2020,Spring,8,8.0,0,18.659023219365753,36.21563231704336,15.273582485716092,,0.0,None
1,2020-01-06,2019–2020,Spring,9,9.0,1,20.196217016841953,29.171763473487296,28.025013207319144,1.0,0.0,
1,2020-01-13,2019–2020,Spring,8,8.0,1,26.62243445657255,26.917675185548195,29.603563615244568,0.0,0.0,
1,2020-02-03,2019–2020,Spring,14,14.0,0,15.693706991056072,46.01203104588513,16.734243425156638,,0.0,None
1,2020-02-10,2019–2020,Spring,10,10.0,1,13.405529813998438,42.088117287477075,43.99053925986875,1.0,1.0,Give
1,2020-03-02,2019–2020,Spring,9,9.0,0,12.069289292465434,49.41024037473357,41.3756565245052,1.0,1.0,Connect
1,2020-03-09,2019–2020,Spring,12,12.0,1,18.109993235850276,58.79470848937311,49.73534153429336,1.0,1.0,Connect
1,2020-04-06,2019–2020,Summer,17,17.0,0,42.97443487694977,60.66398455817108,39.49080776519269,1.0,0.0,None
1,2020-04-13,2019–2020,Summer,13,13.0,3,23.798927320028195,49.269717107096675,42.2504050501169,1.0,0.0,None
1,2020-04-20,2019–2020,Summer,17,17.0,2,35.574638508773525,69.62981198161845,62.26566583166245,1.0,1.0,Connect
1,2020-05-04,2019–2020,Summer,16,16.0,1,31.96653926846595,59.42904662514494,39.512774745774884,0.0,0.0,None
1,2020-05-11,2019–2020,Summer,7,7.0,1,5.9484457241893995,36.27297636733851,25.051059333231095,1.0,0.0,None
1,2020-05-18,2019–2020,Summer,14,14.0,0,24.869502039348056,66.4757101001362,49.908761538150074,1.0,1.0,Keep Learning
1,2020-05-25,2019–2020,Summer,11,11.0,0,27.868780335873105,38.52962541334952,43.921999798628406,1.0,1.0,Keep Learning
1,2020-06-01,2019–2020,Summer,10,10.0,1,23.60331718287813,25.235356947944087,28.176611631278732,0.0,0.0,None
1,2020-06-08,2019–2020,Summer,13,13.0,1,20.111685255660074,47.04510445040695,32.46517119782176,1.0,0.0,None
1,2020-06-15,2019–2020,Summer,6,6.0,0,25.49444739103531,34.904547571023485,17.224286023100976,,0.0,None
1,2020-09-07,2020–2021,Autumn,19,19.0,1,34.12516138230806,89.45786770186356,62.739520719568574,1.0,1.0,Keep Learning
1,2020-09-14,2020–2021,Autumn,23,11.5,1,67.08562814075789,54.79882855539458,41.880645162308284,,1.0,Give
1,2020-09-21,2020–2021,Autumn,21,10.5,1,27.392340969563293,51.770278910220895,29.507959889149106,1.0,0.0,None
1,2020-09-28,2020–2021,Autumn,30,15.0,1,69.47587724154047,58.153702094873225,40.617738397308386,0.0,0.5,Be Active
1,2020-10-05,2020–2021,Autumn,7,7.0,1,26.95977217993424,39.41717164362181,47.8408836375502,0.0,1.0,
1,2020-10-12,2020–2021,Autumn,28,14.0,3,53.962358035940724,57.96050807792584,34.48385335880491,1.0,0.0,None
1,2020-10-19,2020–2021,Autumn,11,11.0,0,10.248035283613033,51.88419854172663,26.387061396636003,1.0,0.0,None
1,2020-11-02,2020–2021,Autumn,15,7.5,2,44.87803365447864,34.34051242689827,30.064800382471006,1.0,0.0,None
1,2020-11-09,2020–2021,Autumn,12,12.0,3,33.69911785191141,53.70732416301792,36.65987032472495,,0.0,None
1,2020-11-16,2020–2021,Autumn,13,13.0,0,17.67675771462511,50.232567478172584,28.450394441084846,1.0,0.0,None
1,2020-11-23,2020–2021,Autumn,20,10.0,3,49.63142046048886,47.58292108113287,36.167633680364695,1.0,0.0,None
1,2020-11-30,2020–2021,Autumn,17,8.5,1,39.198254988626985,34.69245103373072,27.20615525653718,1.0,0.0,None
1,2020-12-07,2020–2021,Autumn,24,12.0,0,69.29757570922351,38.71569950258282,31.228520827182955,0.5,0.0,None
1,2020-12-28,2020–2021,Spring,27,13.5,0,59.52493549613452,62.98993321523123,50.668305886496896,0.5,1.0,Be Active
1,2021-01-04,2020–2021,Spring,20,10.0,0,63.30145975748157,52.985679552558445,41.2966631810532,0.5,0.5,Be Active
1,2021-01-11,2020–2021,Spring,24,12.0,1,48.16814626734853,45.0905087552554,31.300651566705273,0.0,0.0,None
1,2021-01-18,2020–2021,Spring,22,11.0,2,41.30939531379858,51.1764014295439,41.1789995763524,1.0,0.5,Be Active
1,2021-01-25,2020–2021,Spring,17,8.5,3,24.02244081590421,30.809182970708065,27.706035878661055,1.0,0.0,None
1,2021-02-01,2020–2021,Spring,39,19.5,1,56.74058546346043,75.06454946766246,47.72290161082568,0.5,0.5,None
1,2021-02-08,2020–2021,Spring,31,15.5,2,27.287819547244148,61.27723416941504,41.367278466894454,0.5,0.5,Give
1,2021-02-15,2020–2021,Spring,20,10.0,2,46.529278384271215,36.638033847657844,30.91438819262633,1.0,0.0,None
1,2021-02-22,2020–2021,Spring,15,7.5,2,37.348672652360676,40.68053752947428,30.394913157762016,0.5,0.0,None
1,2021-03-01,2020–2021,Spring,7,7.0,1,24.515189977585237,33.14849706600096,20.458854259028655,,0.0,None
1,2021-03-08,2020–2021,Spring,7,7.0,0,10.403772949374469,35.39658589678358,22.31707079065405,1.0,0.0,None
1,2021-03-15,2020–2021,Spring,14,14.0,2,38.957075868342834,60.62669445781431,46.142365570567854,1.0,0.0,None
1,2021-04-05,2020–2021,Summer,30,15.0,1,54.178368067497736,58.36541372728391,38.1210814430706,1.0,0.5,Give
1,2021-04-12,2020–2021,Summer,16,16.0,3,19.846041165107753,53.52469980294987,31.996522005773386,,0.0,None
1,2021-04-19,2020–2021,Summer,9,9.0,1,26.7541637190033,37.21588413704777,32.22202560726304,1.0,0.0,None
1,2021-04-26,2020–2021,Summer,14,14.0,3,30.777114753965517,59.91119067733624,37.2368359206559,,0.0,None
1,2021-05-03,2020–2021,Summer,26,13.0,0,57.359873178416585,54.96196965448669,33.300471276691106,0.5,0.0,None
1,2021-05-10,2020–2021,Summer,25,12.5,2,49.45752525129869,46.94431043398611,48.97899848371298,1.0,1.0,Give
1,2021-05-17,2020–2021,Summer,24,12.0,1,39.36012314573342,47.81571650999053,25.513949651786536,0.0,0.0,None
1,2021-05-24,2020–2021,Summer,25,12.5,3,66.58825949566125,56.03029247675495,41.10561636846562,0.0,0.0,None
1,2021-05-31,2020–2021,Summer,15,7.5,2,51.89069598023123,38.228833663129954,27.20565774582103,1.0,0.0,None
1,2021-06-07,2020–2021,Summer,22,11.0,0,45.40380783298978,57.12792714938839,34.34928309284539,1.0,0.5,None
1,2021-06-14,2020–2021,Summer,18,18.0,2,22.61339570467726,69.32837667932307,42.86989273805653,0.0,0.0,None
1,2021-06-21,2020–2021,Summer,25,12.5,1,43.65647140560074,55.36471961299817,35.61725847084966,0.0,0.5,Be Active
1,2021-09-06,2021–2022,Autumn,24,12.0,3,43.000710783848746,50.60556372667939,30.81817606231131,0.0,0.0,None
1,2021-09-13,2021–2022,Autumn,14,14.0,0,29.730372894628456,45.77730496040266,31.354450538310154,1.0,0.0,None
1,2021-09-20,2021–2022,Autumn,23,11.5,1,50.3360546092312,44.64891940089249,31.55157228509499,0.5,0.0,None
1,2021-09-27,2021–2022,Autumn,33,16.5,3,62.03814348780453,67.6477272001942,50.75162238134931,0.5,0.5,Be Active
1,2021-10-04,2021–2022,Autumn,28,14.0,1,57.063738350382124,50.77522046728352,34.2044281752179,1.0,0.0,None
1,2021-10-11,2021–2022,Autumn,40,13.333333333333334,0,64.87870840003168,45.483863590157114,25.246377941987237,0.0,0.0,None
1,2021-10-18,2021–2022,Autumn,40,13.333333333333334,4,92.03049264798888,46.78117334522542,37.25423696386067,1.0,0.0,None
1,2021-10-25,2021–2022,Autumn,25,12.5,1,37.290242564004416,59.18236553005585,40.510631809848036,0.0,0.5,Give
1,2021-11-01,2021–2022,Autumn,19,9.5,0,34.680170336388315,44.42512394479824,26.886309375597612,1.0,0.0,None
1,2021-11-08,2021–2022,Autumn,35,17.5,2,64.8857205323464,66.98133075490416,49.059619444117104,0.5,0.5,Give
1,2021-11-15,2021–2022,Autumn,36,18.0,2,30.82067346410874,74.74687202173871,52.82349691611947,0.5,1.0,Be Active
1,2021-11-22,2021–2022,Autumn,27,13.5,2,60.602136628890065,65.20251359091367,42.90098450254343,0.0,0.5,Give
1,2021-11-29,2021–2022,Autumn,43,14.333333333333334,4,76.41127158392953,54.80778112127327,42.52541990075493,0.3333333333333333,0.3333333333333333,Give
1,2021-12-06,2021–2022,Autumn,35,11.666666666666666,1,78.17788566991344,51.31974251663507,34.51636737026026,0.5,0.3333333333333333,None
1,2021-12-27,2021–2022,Spring,29,14.5,2,43.50727661949038,71.80114479697569,54.20149896915899,0.0,1.0,Be Active
1,2022-01-03,2021–2022,Spring,32,10.666666666666666,2,58.60053645715551,40.350357070737054,25.93209331847932,0.5,0.0,None
1,2022-01-10,2021–2022,Spring,40,13.333333333333334,2,42.5671958183442,62.576959732957484,38.040595024166514,1.0,0.3333333333333333,None
1,2022-01-17,2021–2022,Spring,20,10.0,2,49.961190004347976,41.42170687095849,32.682291718464285,1.0,0.0,None
1,2022-01-24,2021–2022,Spring,39,13.0,1,53.64305801059938,51.93262054595772,30.276828248778248,0.6666666666666666,0.0,None
1,2022-01-31,2021–2022,Spring,29,9.666666666666666,4,72.88785626305882,45.97890401792386,44.926710033709725,0.6666666666666666,0.6666666666666666,Be Active
